,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
8341,8341,tales-of-hearts-r,76.0,8.1,0,1,0,0,0,0,0,0,Role-playing (RPG),2013,0,1
8342,8342,tales-of-legendia,72.0,8,0,0,1,0,0,0,0,0,Role-playing (RPG),2005,0,1
8348,8348,tales-of-phantasia,76.0,8.2,0,1,0,0,0,0,0,0,Role-playing (RPG),1995,0,1
8349,8349,tales-of-symphonia,86.0,9,1,0,1,1,0,0,0,0,Role-playing (RPG),2003,1,1
8350,8350,tales-of-symphonia-chronicles,77.0,8.3,0,0,0,1,0,0,0,0,Role-playing (RPG),2013,1,1
8351,8351,tales-of-symphonia-dawn-of-the-new-world,68.0,7.4,0,0,0,1,0,0,0,0,Role-playing (RPG),2008,0,1
8352,8352,tales-of-the-abyss,78.0,8.8,0,0,1,0,0,0,0,0,Role-playing (RPG),2005,1,1
8353,8353,tales-of-the-world-radiant-mythology,66.0,7.7,0,1,0,0,0,0,0,0,Role-playing (RPG),2006,0,1
8354,8354,tales-of-vesperia,79.0,8.9,0,0,0,1,0,0,1,0,Role-playing (RPG),2008,1,1
8355,8355,tales-of-vesperia-definitive-edition,83.0,7.8,1,0,0,0,1,0,0,1,Role-playing (RPG),2019,1,1
8356,8356,tales-of-xillia,78.0,8.5,0,0,0,1,0,0,0,0,Role-playing (RPG),2011,0,1
8357,8357,tales-of-xillia-2,71.0,8.1,0,0,0,1,0,0,0,0,Role-playing (RPG),2012,0,1
8358,8358,tales-of-zestiria,72.0,7.2,1,0,0,1,1,0,0,0,Role-playing (RPG),2015,1,1
8363,8363,tangle-tower,84.0,7.6,1,0,0,0,0,0,0,0,Adventure,2019,0,1
8369,8369,tannenberg,69.0,7.3,1,0,0,0,1,0,0,1,Indie,2019,1,1
8370,8370,tao-feng-fist-of-the-lotus,65.0,6,0,0,0,0,0,1,0,0,Fighting,2003,0,1
8375,8375,tartarus,59.0,6.5,1,0,0,0,0,0,0,0,Adventure,2017,1,1
8376,8376,tastee-lethal-tactics,74.0,6.4,1,0,0,0,0,0,0,0,Indie,2016,1,1
8377,8377,taz-wanted,65.0,8.6,1,0,1,0,0,1,0,0,Adventure,2002,0,1
8378,8378,team-fortress-2,92.0,9.1,1,0,0,1,0,0,1,0,Shooter,2007,1,0
8379,8379,team-sonic-racing,73.0,7.3,1,0,0,0,1,0,0,1,Racing,2019,1,1
8380,8380,tearaway,87.0,8.9,0,1,0,0,0,0,0,0,Adventure,2013,0,1
8381,8381,tearaway-unfolded,81.0,8,0,0,0,0,1,0,0,0,Adventure,2015,0,1
8382,8382,tears-to-tiara-ii-heir-of-the-overlord,65.0,8.1,0,0,0,1,0,0,0,0,Adventure,2014,0,1
8384,8384,technobabylon,82.0,7.7,1,0,0,0,0,0,0,0,Adventure,2015,0,1
8385,8385,tech-support-error-unknown,70.0,5.1,1,0,0,0,0,0,0,0,Adventure,2019,0,1
8387,8387,tecmo-bowl-throwback,67.0,7.3,0,0,0,1,0,0,0,0,Sport,2010,0,0
8392,8392,teenage-mutant-ninja-turtles-2-battle-nexus,65.0,7,1,0,1,0,0,1,0,0,Hack and slash/Beat 'em up,2004,0,1
8393,8393,teenage-mutant-ninja-turtles-3-mutant-nightmare,58.0,7.9,0,0,1,0,0,1,0,0,Fighting,2005,0,1
8395,8395,teenage-mutant-ninja-turtles-mutants-in-manhattan,55.0,5.9,1,0,0,1,1,0,1,1,Fighting,2016,1,1
8396,8396,teenage-mutant-ninja-turtles-out-of-the-shadows,38.0,5.3,1,1,0,0,0,1,0,0,Adventure,2013,1,1
8397,8397,teenage-mutant-ninja-turtles-smash-up,67.0,8.1,0,0,1,0,0,0,0,0,Fighting,2009,1,1
8400,8400,teen-titans,63.0,7.1,0,0,1,0,0,1,0,0,Hack and slash/Beat 'em up,2006,0,1
8401,8401,tekken-2,89.0,8.6,0,0,1,0,0,0,0,0,Fighting,1995,1,1
8402,8402,tekken-3,96.0,9.1,0,0,1,0,0,0,0,0,Fighting,1997,1,1
8404,8404,tekken-4,79.0,8.2,0,0,1,0,0,0,0,0,Fighting,2001,1,1
8405,8405,tekken-5,88.0,8.7,0,0,1,0,0,0,0,0,Fighting,2004,1,1
8406,8406,tekken-5-dark-resurrection,82.0,7.8,0,0,0,1,0,0,0,0,Fighting,2005,1,1
8407,8407,tekken-6,82.0,8.1,0,0,0,1,0,0,1,0,Fighting,2007,1,1
8408,8408,tekken-7,82.0,6.8,1,0,0,0,1,0,0,1,Fighting,2015,1,1
8410,8410,tekken-dark-resurrection,88.0,8.5,0,1,0,0,0,0,0,0,Fighting,2006,0,0
8411,8411,tekken-hybrid,65.0,6.9,0,0,0,1,0,0,0,0,Fighting,2011,1,1
8412,8412,tekken-revolution,70.0,6.4,0,0,0,1,0,0,0,0,Fighting,2013,1,1
8413,8413,tekken-tag-tournament,85.0,8.5,0,0,1,1,1,0,0,0,Fighting,1999,1,1
8414,8414,tekken-tag-tournament-2,83.0,7.7,0,0,0,1,0,0,1,0,Fighting,2011,1,1
8416,8416,teleglitch-die-more-edition,78.0,7,1,0,0,0,0,0,0,0,Adventure,2012,0,1
8417,8417,telling-lies,84.0,6.4,1,0,0,0,1,0,0,1,Adventure,2019,0,1
8418,8418,tembo-the-badass-elephant,72.0,6.7,1,0,0,0,1,0,0,1,Adventure,2015,0,1
8421,8421,tempest-4000,75.0,6.8,1,0,0,0,1,0,0,1,Arcade,2018,0,1
8423,8423,tenchu-2-birth-of-the-stealth-assassins,77.0,8.6,0,1,0,0,0,0,0,0,Adventure,2000,0,1
8425,8425,tenchu-fatal-shadows,58.0,7.6,0,0,1,0,0,0,0,0,Adventure,2004,0,1
8427,8427,tenchu-shadow-assassins,70.0,7.1,0,1,0,0,0,0,0,0,Adventure,2008,0,1
8428,8428,tenchu-stealth-assassins,87.0,8.7,0,1,0,0,0,0,0,0,Adventure,1998,0,1
8429,8429,tenchu-wrath-of-heaven,79.0,8.6,0,0,1,0,0,1,0,0,Adventure,2003,0,1
8430,8430,tenchu-z,56.0,7.4,0,0,0,0,0,0,1,0,Adventure,2006,0,1
8431,8431,tengami,70.0,7.6,1,0,0,0,0,0,0,0,Adventure,2014,0,1
8434,8434,tennis-in-the-face,68.0,4.7,0,0,0,0,1,0,0,1,Arcade,2013,0,1
8435,8435,tennis-masters-series,65.0,7.5,1,0,0,0,0,0,0,0,Sport,2001,0,1
8437,8437,tennis-world-tour,45.0,2.8,1,0,0,0,1,0,0,1,Simulator,2018,1,1
8438,8438,tera,77.0,6.8,1,0,0,0,1,0,0,1,Adventure,2011,1,0
8441,8441,terminator-resistance,60.0,8,1,0,0,0,1,0,0,1,Adventure,2019,0,1
8442,8442,terminator-salvation,49.0,4.6,1,0,0,1,0,0,1,0,Shooter,2009,0,0
8443,8443,terraria,85.0,8,1,0,0,0,1,0,0,1,Adventure,2011,1,1
8446,8446,tesla-effect-a-tex-murphy-adventure,68.0,8.5,1,0,0,0,0,0,0,0,Adventure,2014,0,1
8447,8447,teslagrad,81.0,7.9,1,0,0,1,1,0,0,1,Indie,2013,0,1
8449,8449,tesla-vs-lovecraft,75.0,7.3,1,0,0,0,1,0,0,1,Arcade,2018,1,1
8451,8451,test-drive-eve-of-destruction,73.0,8.8,0,0,1,0,0,1,0,0,Racing,2004,0,1
8452,8452,test-drive-ferrari-racing-legends,62.0,5,1,0,0,1,0,0,1,0,Racing,2012,1,1
8453,8453,test-drive-le-mans,93.0,8,0,1,0,0,0,0,0,0,Racing,2000,0,0
8454,8454,test-drive-off-road-wide-open,70.0,6.3,0,0,1,0,0,1,0,0,Racing,2001,0,1
8455,8455,test-drive-unlimited,82.0,8,1,0,1,0,0,0,1,0,Racing,2006,1,1
8456,8456,test-drive-unlimited-2,72.0,5.8,1,0,0,1,0,0,1,0,Racing,2011,1,1
